Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,"Academic, Training and Research",United States,193247145,Direct Appropriation,Feed the Future Innovation Lab for Food Security Policy (FSP),Venezuela,Implementation,0,7/15/13,7/15/13,1/14/20,,44481.19,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/30/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,2944543,4/1/14,3/31/14,3/31/20,,209999.67,9/30/17,2017,4,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,9/30/17
U.S. Agency for International Development,,,81159512,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,-1938.19,3/31/19,2019,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1600000,8/31/15,8/31/15,9/30/20,,200000,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,5000,7/1/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions",Venezuela,Finalisation,0,,,,Original-grants,3000,7/31/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,12/20/18
U.S. Agency for International Development,National NGO,United States,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,300000,6/30/19,2019,3,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2018,2019,6/30/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Pay and Benefits,Venezuela,Implementation,0,10/1/05,10/1/05,9/30/19,,5016.37,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,2518.88,8/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,Private Sector,United States,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,0,,10/1/13,9/30/19,,39162,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
U.S. Agency for International Development,,,790238638,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/14,9/30/16,,27.75,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2005,0,9/30/16
U.S. Agency for International Development,National NGO,,620408971,Direct Appropriation,Private Sector Roadmap,Venezuela,Finalisation,291192,8/1/17,8/1/17,9/30/18,,115000,9/30/17,2017,4,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,9/30/17
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,2720.67,12/31/12,2013,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/12
U.S. Agency for International Development,,,790238638,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,1014870.29,,10/1/17,9/30/19,,-1058.32,6/30/19,2019,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,6/30/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,2112000,4/1/14,3/31/14,3/31/20,,141814,6/30/17,2017,3,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2016,2017,6/30/17
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,3574.23,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,6/30/19
Inter-American Foundation,,Venezuela,,Direct Appropriation,ARCA: Community Center for Training and Fair Trade,Venezuela,,0,,9/5/08,3/5/12,,53865,6/21/11,2011,3,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2012,9/18/13
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,Sectoral Planning by Democratic Stakeholders,Venezuela,Implementation,433079.67,10/1/18,9/30/18,9/30/20,,45283.23,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,6100.52,3/31/14,2014,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,3/31/14
U.S. Agency for International Development,,,790238638,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,747940.4,,10/1/14,9/30/16,,9789.78,3/31/16,2016,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2015,2016,3/31/16
U.S. Agency for International Development,Private Sector,United States,809168102,Direct Appropriation,CBSI-DC-ESF-LAC/CAR A&O,Venezuela,Implementation,0,3/26/18,3/26/18,3/25/23,,100614.1,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,6/30/19
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,32000,6/18/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/12,9/30/14,,-36949.15,9/30/14,2014,4,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2010,2011,9/30/14
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights,Venezuela,Finalisation,0,,10/1/12,9/30/14,,-6687.9,9/30/14,2014,4,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2009,2010,9/30/14
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,1301.58,12/31/12,2013,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/12
Inter-American Foundation,,Venezuela,,Direct Appropriation,ARCA: Community Center for Training and Fair Trade,Venezuela,,0,,9/5/08,3/5/12,,40940,11/22/10,2011,1,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2012,9/18/13
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,3640000,4/1/14,3/31/14,9/30/20,,77643,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2014,2015,9/30/16
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Political Parties,Venezuela,Finalisation,0,,10/1/12,9/30/14,,-2761.83,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Legislatures and political parties,"Democracy, Human Rights, and Governance",2009,2010,6/30/13
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,29440.59,12/31/18,2019,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,12/31/18
U.S. Agency for International Development,,,790238638,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/14,9/30/16,,-209.79,6/30/15,2015,3,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2007,0,6/30/15
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,1112000,4/1/14,3/31/14,3/31/20,,42449,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2014,2015,12/31/15
U.S. Agency for International Development,"Academic, Training and Research",United States,193247145,Direct Appropriation,Feed the Future Innovation Lab for Food Security Policy (FSP),Venezuela,Implementation,0,7/15/13,7/15/13,1/14/20,,388.77,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,1339.14,12/31/14,2015,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/14
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,2440000,4/1/14,3/31/14,9/30/20,,326533,3/31/16,2016,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,3/31/16
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,650000,8/31/15,8/31/15,9/30/20,,117000,12/31/16,2017,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2015,2016,12/31/16
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,34000,3/31/15,2015,2,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2013,2014,3/31/15
U.S. Agency for International Development,National NGO,,927923250,Direct Appropriation,Sectoral Planning by Democratic Stakeholders,Venezuela,Implementation,433079.67,10/1/18,9/30/18,9/30/20,,433079.67,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,9196.4,12/31/12,2013,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2011,2012,12/31/12
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/13,,-3,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2008,0,12/31/12
U.S. Agency for International Development,National NGO,United States,Information Redacted,Direct Appropriation,Emergency award with FFP and OFDA for South America response,Venezuela,Implementation,1188500,9/15/18,9/15/18,12/31/19,,120390.46,7/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,11/22/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,975000,8/31/15,8/31/15,9/30/20,,97000,3/31/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2016,2017,3/31/18
U.S. Agency for International Development,Private Sector,,68512610,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,0,,10/1/13,9/30/14,,-52309.16,9/30/14,2014,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2010,0,9/30/14
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,-1744.53,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,6/30/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Emergency humanitarian assistance award,Venezuela,Implementation,2000000,10/1/18,9/30/18,9/30/19,,2000000,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Emergency food assistance,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,Private Sector,United States,80125306,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,199412.88,,10/1/17,9/30/19,,43870.83,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,3008,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,6/30/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,27985.89,6/30/19,2019,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,6/30/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,3640000,4/1/14,3/31/14,9/30/20,,962454.93,3/31/17,2017,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,3/31/17
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,16935.09,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,120922.31,3/31/15,2015,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/15
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,60000,2/13/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/5/19
Department of the Interior,International NGO,Venezuela,886757087,Direct Appropriation,"Conservation of endangered southeastern Caribbean hawksbill turtles, Eretmochelys imbricata, in Los Roques Archipiélago National Park, Venezuela",Venezuela,Implementation,10714,7/7/17,7/7/17,9/30/18,One-time disbursement,75020,8/21/17,2017,4,Disbursement,Standard grant,General budget support,Partially tied,Bio-diversity,Environment,2017,2018,11/9/17
U.S. Agency for International Development,National NGO,United States,,Direct Appropriation,Protection and Solutions,Venezuela,Implementation,249973,,10/1/18,9/30/19,,249973,5/31/19,2019,3,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,5/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,1/1/04,10/1/14,9/30/15,,23650.1,3/31/15,2015,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/15
U.S. Agency for International Development,,,81159512,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,903295.27,,10/1/17,9/30/19,,39950.64,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,6439.88,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,6/30/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,5640000,4/1/14,3/31/14,9/30/20,,800000,3/31/18,2018,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,3/31/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights,Venezuela,Finalisation,400000,,10/1/15,9/30/18,,252.23,9/30/17,2017,4,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/17
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,110000,9/30/15,2015,4,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,,,80457917,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/18,9/30/19,,4095.91,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions - Cooperative Agreements",Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,59782,1/29/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,254480.88,3/31/13,2013,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/13
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Emergency humanitarian assistance award,Venezuela,Implementation,2000000,10/1/18,9/30/18,9/30/19,,233803,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Emergency food assistance,Humanitarian Assistance,2018,0,12/31/18
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,-3122.64,12/31/12,2013,1,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/12
U.S. Agency for International Development,,,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,0,,10/1/18,9/30/19,,278.61,12/31/18,2019,1,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,12/31/18
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,4000,2/25/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/5/19
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,47294.12,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/30/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights,Venezuela,Finalisation,0,,10/1/12,9/30/14,,-6687.9,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2009,2010,6/30/13
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,975000,8/31/15,8/31/15,9/30/20,,26064.91,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2016,2017,6/30/18
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,National Assembly,Venezuela,Implementation,2000000,9/30/16,9/30/16,9/30/20,,248057.55,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,,,790238638,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,747940.4,,10/1/16,9/30/19,,37720.56,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,11000,4/11/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,10/21/19
Department of State,,,Information Redacted,,Strengthening Opportunities and Pro,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,132136,2/13/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,3585000,4/1/14,3/31/14,9/30/20,,550000,3/31/18,2018,2,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,3/31/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,2440000,4/1/14,3/31/14,9/30/20,,207305,6/30/16,2016,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2014,2015,6/30/16
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Citizen Initiatives to Support Democracy,Venezuela,Finalisation,0,1/23/12,1/23/12,9/30/16,,332449.5,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2012,2013,12/31/12
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,5057.07,9/30/18,2018,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,9/30/18
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/12,9/30/13,,-4945.09,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2003,0,12/31/12
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,155000,1/17/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/5/19
U.S. Agency for International Development,National NGO,United States,,Direct Appropriation,Emergency award with FFP and OFDA for South America response,Venezuela,Implementation,1188500,9/15/18,9/15/18,7/31/19,,213307.53,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Emergency food assistance,Humanitarian Assistance,2018,0,6/30/19
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Citizen Initiatives to Support Democracy,Venezuela,Finalisation,0,1/23/12,1/23/12,9/30/16,,-4577.25,6/30/15,2015,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2012,2013,6/30/15
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,4000,12/10/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2017,2018,5/1/19
U.S. Agency for International Development,Private Sector,United States,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,9700,,10/1/18,9/30/19,,8750,4/30/19,2019,3,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,4/30/19
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/13,,-5175.81,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2008,0,12/31/12
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,3585000,4/1/14,3/31/14,9/30/20,,250000,3/31/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,3/31/18
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,501.11,9/30/13,2013,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/13
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,6505,7/31/19,2019,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions",Venezuela,Finalisation,0,,,,Original-grants,9000,8/21/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,12/20/18
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,39081,6/30/19,2019,3,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,6/30/19
U.S. Agency for International Development,,,81159512,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,903295.27,,10/1/17,9/30/19,,151010,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,965157,9/24/12,9/24/12,9/30/17,,-696,6/30/17,2017,3,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,6/30/17
U.S. Agency for International Development,National NGO,United States,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,188240.39,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
